Name,City,Region,Applied,Admitted,Enrolled,Acceptance Rate
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,17,6,3,0.35294117647058826
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,106,21,14,0.19811320754716982
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,48,10,4,0.20833333333333334
ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,45,15,6,0.3333333333333333
ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,19,8,5,0.42105263157894735
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,65,14,7,0.2153846153846154
ADLAI E STEVENSON HIGH SCHOOL,Lincolnshire,IL,89,14,4,0.15730337078651685
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,78,13,8,0.16666666666666666
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,82,15,6,0.18292682926829268
ALAIN LEROY LOCKE COLLEGE PREP,Los Angeles,Los Angeles,28,4,3,0.14285714285714285
ALAMEDA HIGH SCHOOL,Alameda,Alameda,111,32,18,0.2882882882882883
ALBANY HIGH SCHOOL,Albany,Alameda,88,21,11,0.23863636363636365
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,93,19,9,0.20430107526881722
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,76,9,6,0.11842105263157894
ALISAL HIGH SCHOOL,Salinas,Monterey,50,7,3,0.14
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,117,22,10,0.18803418803418803
ALLIANCE M&E STERN MATH SCI SCH,Los Angeles,Los Angeles,17,11,4,0.6470588235294118
ALLIANCE OUCHI-O'DONOVAN 6-12,Los Angeles,Los Angeles,19,7,3,0.3684210526315789
ALSION MONTESSORI MIDDLE/HIGH,Fremont,Alameda,10,6,3,0.6
ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,37,5,3,0.13513513513513514
AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,183,32,23,0.17486338797814208
AMERICAN HERITAGE SCHOOL,Plantation,FL,29,10,4,0.3448275862068966
AMERICAN HIGH SCHOOL,Fremont,Alameda,188,35,25,0.18617021276595744
AMERICAN INDIAN PUBLIC SCHOOL,Oakland,Alameda,49,8,7,0.16326530612244897
AMERICAN SCHOOL IN JAPAN,nan,nan,33,5,3,0.15151515151515152
ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,45,10,8,0.2222222222222222
ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,62,16,9,0.25806451612903225
ANGLO-CHINESE SCH INDEPENDENT,nan,nan,42,5,3,0.11904761904761904
ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,31,9,5,0.2903225806451613
ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,20,9,4,0.45
ANTELOPE HIGH SCHOOL,Antelope,Sacramento,29,7,3,0.2413793103448276
ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,26,5,4,0.19230769230769232
APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,17,7,3,0.4117647058823529
APPLEBY COLLEGE,nan,nan,19,6,3,0.3157894736842105
APPLIED TECHNOLOGY CENTER,Montebello,Los Angeles,16,7,3,0.4375
APTOS HIGH SCHOOL,Aptos,Santa Cruz,37,7,5,0.1891891891891892
ARAGON HIGH SCHOOL,San Mateo,San Mateo,129,18,12,0.13953488372093023
ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,249,55,21,0.22088353413654618
ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,139,28,10,0.2014388489208633
ARIZONA COLLEGE PREP - ERIE,Chandler,AZ,10,3,3,0.3
ARLINGTON HIGH SCHOOL,Riverside,Riverside,12,6,3,0.5
ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,190,40,19,0.21052631578947367
ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,36,10,4,0.2777777777777778
ARROYO HIGH SCHOOL,El Monte,Los Angeles,31,8,4,0.25806451612903225
ARROYO HIGH SCHOOL,San Lorenzo,Alameda,60,16,13,0.26666666666666666
ARROYO VALLEY HIGH SCHOOL,San Bernardino,San Bernardino,23,8,4,0.34782608695652173
ASPIRE GOLDEN STATE PREP ACADEMY,Oakland,Alameda,17,3,3,0.17647058823529413
ASPIRE LIONEL WILSON COLG PREP,Oakland,Alameda,18,6,5,0.3333333333333333
ASPIRE RICHMOND CA COLG PREP,Richmond,Contra Costa,13,4,4,0.3076923076923077
BALBOA HIGH SCHOOL,San Francisco,San Francisco,67,10,6,0.14925373134328357
BASIS INDEPENDENT SILICON VLY,San Jose,Santa Clara,76,19,6,0.25
BASIS SCOTTSDALE CHARTER SCH,Scottsdale,AZ,37,14,7,0.3783783783783784
BEAR CREEK HIGH SCHOOL,Stockton,San Joaquin,19,5,4,0.2631578947368421
BEIJING NATIONAL DAY SCHOOL,nan,nan,134,5,3,0.03731343283582089
BELLARMINE COLLEGE PREPARATORY,San Jose,Santa Clara,87,16,6,0.1839080459770115
BELLEVUE SENIOR HIGH SCHOOL,Bellevue,WA,83,11,4,0.13253012048192772
BELMONT HIGH SCHOOL,Los Angeles,Los Angeles,15,9,6,0.6
BENICIA HIGH SCHOOL,Benicia,Solano,60,12,5,0.2
BERGEN COUNTY ACADEMIES,Hackensack,NJ,50,19,8,0.38
BERKELEY HIGH SCHOOL,Berkeley,Alameda,232,49,18,0.21120689655172414
BEVERLY HILLS HIGH SCHOOL,Beverly Hills,Los Angeles,90,17,8,0.18888888888888888
BISHOP ODOWD HIGH SCHOOL,Oakland,Alameda,112,15,5,0.13392857142857142
BISHOPS SCHOOL,La Jolla,San Diego,72,15,4,0.20833333333333334
BLUE VALLEY NORTH HIGH SCHOOL,Overland Park,KS,12,6,3,0.5
BONITA HIGH SCHOOL,La Verne,Los Angeles,46,11,3,0.2391304347826087
BONITA VISTA HIGH SCHOOL,Chula Vista,San Diego,40,10,7,0.25
BRANHAM HIGH SCHOOL,San Jose,Santa Clara,69,9,7,0.13043478260869565
BREA OLINDA HIGH SCHOOL,Brea,Orange,43,15,9,0.3488372093023256
BRIDGEWATER-RARITAN RGNL HS,Bridgewater,NJ,35,7,4,0.2
BRITISH SCHOOL OF RIO,nan,nan,9,4,3,0.4444444444444444
BUENA PARK HIGH SCHOOL,Buena Park,Orange,28,8,6,0.2857142857142857
BURBANK SENIOR HIGH SCHOOL,Burbank,Los Angeles,76,13,5,0.17105263157894737
BURLINGAME HIGH SCHOOL,Burlingame,San Mateo,107,19,10,0.17757009345794392
C K MCCLATCHY HIGH SCHOOL,Sacramento,Sacramento,70,24,16,0.34285714285714286
CA SCH ARTS SAN GABRIEL VALLEY,Duarte,Los Angeles,16,6,3,0.375
CALABASAS HIGH SCHOOL,Calabasas,Los Angeles,130,16,5,0.12307692307692308
CALEXICO HIGH SCHOOL,Calexico,Imperial,19,10,9,0.5263157894736842
CALIFORNIA ACAD MATH & SCIENCE,Carson,Los Angeles,84,22,10,0.2619047619047619
CALIFORNIA CONNCT ACDMY S CAL,San Juan Capistrano,Orange,18,9,3,0.5
CALIFORNIA HIGH SCHOOL,San Ramon,Contra Costa,166,39,21,0.23493975903614459
CALIFORNIA HIGH SCHOOL,Whittier,Los Angeles,30,8,5,0.26666666666666666
CAMPBELL HALL,Studio City,Los Angeles,48,7,3,0.14583333333333334
CAMPOLINDO HIGH SCHOOL,Moraga,Contra Costa,79,16,6,0.20253164556962025
CANYON CREST ACADEMY,San Diego,San Diego,269,66,38,0.24535315985130113
CANYON HIGH SCHOOL,Anaheim,Orange,79,20,6,0.25316455696202533
CAPISTRANO VALLEY HIGH SCHOOL,Mission Viejo,Orange,63,23,10,0.36507936507936506
CARLMONT HIGH SCHOOL,Belmont,San Mateo,191,33,19,0.17277486910994763
CARLSBAD HIGH SCHOOL,Carlsbad,San Diego,80,18,10,0.225
CARMEL HIGH SCHOOL,Carmel,Monterey,35,10,4,0.2857142857142857
CARONDELET HIGH SCHOOL,Concord,Contra Costa,28,10,5,0.35714285714285715
CARSON HIGH SCHOOL,Carson,Los Angeles,24,6,3,0.25
CASA GRANDE HIGH SCHOOL,Petaluma,Sonoma,28,3,3,0.10714285714285714
CASTRO VALLEY HIGH SCHOOL,Castro Valley,Alameda,167,13,8,0.07784431137724551
CATE SCHOOL,Carpinteria,Santa Barbara,34,11,4,0.3235294117647059
CATHEDRAL CATHOLIC H S,San Diego,San Diego,87,24,10,0.27586206896551724
CATHEDRAL CITY HIGH SCHOOL,Cathedral City,Riverside,22,8,5,0.36363636363636365
CENTENNIAL HIGH SCHOOL,Corona,Riverside,59,13,6,0.22033898305084745
CENTRAL HIGH SCHOOL EAST/WEST,Fresno,Fresno,28,7,5,0.25
CERES HIGH SCHOOL,Ceres,Stanislaus,22,5,4,0.22727272727272727
CERRITOS HIGH SCHOOL,Cerritos,Los Angeles,86,17,8,0.19767441860465115
CESAR CHAVEZ HIGH SCHOOL,Stockton,San Joaquin,43,5,4,0.11627906976744186
CESAR E CHAVEZ HIGH SCHOOL,Delano,Kern,21,8,5,0.38095238095238093
CHADWICK INTERNATIONAL SCHOOL,nan,nan,51,13,5,0.2549019607843137
CHADWICK SCHOOL,Palos Verdes Estate,Los Angeles,53,11,3,0.20754716981132076
CHAFFEY HIGH SCHOOL,Ontario,San Bernardino,28,7,5,0.25
CHAMINADE COLLEGE PREPARATORY,West Hills,Los Angeles,98,18,11,0.1836734693877551
CHAPARRAL HIGH SCHOOL,Temecula,Riverside,43,12,4,0.27906976744186046
CHEONGSHIM INTERNATIONAL ACAD,nan,nan,20,8,4,0.4
CHICO SENIOR HIGH SCHOOL,Chico,Butte,33,8,4,0.24242424242424243
CHINESE INTERNATIONAL SCHOOL,nan,nan,46,7,6,0.15217391304347827
CHRISTIAN BROTHERS HIGH SCHOOL,Sacramento,Sacramento,39,7,4,0.1794871794871795
CHULA VISTA SENIOR HIGH SCHOOL,Chula Vista,San Diego,28,7,5,0.25
CITRUS HILL HIGH SCHOOL,Perris,Riverside,11,5,3,0.45454545454545453
CLAREMONT HIGH SCHOOL,Claremont,Los Angeles,73,9,3,0.1232876712328767
CLAYTON VALLEY HIGH SCHOOL,Concord,Contra Costa,79,18,11,0.22784810126582278
CLEVELAND HIGH SCHOOL,Reseda,Los Angeles,92,29,12,0.31521739130434784
CLOVIS EAST HIGH SCHOOL,Clovis,Fresno,36,7,3,0.19444444444444445
CLOVIS NORTH HIGH SCHOOL,Fresno,Fresno,67,29,12,0.43283582089552236
CLOVIS WEST HIGH SCHOOL,Fresno,Fresno,34,12,10,0.35294117647058826
COACHELLA VALLEY HIGH SCHOOL,Thermal,Riverside,25,8,3,0.32
COLLEGE PARK HIGH SCHOOL,Pleasant Hill,Contra Costa,45,5,3,0.1111111111111111
COLLINGWOOD SCHOOL,nan,nan,19,3,3,0.15789473684210525
CONCORD HIGH SCHOOL,Concord,Contra Costa,23,6,3,0.2608695652173913
CONNECTING WATERS CHARTER SCH,Waterford,Stanislaus,8,3,3,0.375
CORONA DEL MAR HIGH SCHOOL,Newport Beach,Orange,99,21,8,0.21212121212121213
CORONA HIGH SCHOOL,Corona,Riverside,26,8,4,0.3076923076923077
COSTA MESA HIGH SCHOOL,Costa Mesa,Orange,21,5,3,0.23809523809523808
COSUMNES OAKS HIGH SCHOOL,Elk Grove,Sacramento,63,17,10,0.2698412698412698
CREAN LUTHERAN HIGH SCHOOL,Irvine,Orange,74,22,13,0.2972972972972973
CRESCENTA VALLEY HIGH SCHOOL,La Crescenta,Los Angeles,152,21,5,0.13815789473684212
CROFTON HOUSE SCHOOL,nan,nan,20,7,5,0.35
CULVER CITY HIGH SCHOOL,Culver City,Los Angeles,68,14,5,0.20588235294117646
CUPERTINO HIGH SCHOOL,Cupertino,Santa Clara,269,32,15,0.11895910780669144
CYPRESS HIGH SCHOOL,Cypress,Orange,75,9,3,0.12
DANA HILLS HIGH SCHOOL,Dana Point,Orange,76,19,9,0.25
DAVIS SENIOR HIGH SCHOOL,Davis,Yolo,171,33,14,0.19298245614035087
DE ANZA HIGH SCHOOL,Richmond,Contra Costa,55,22,21,0.4
DE LA SALLE HIGH SCHOOL,Concord,Contra Costa,50,12,6,0.24
DE TOLEDO HIGH SCHOOL,West Hills,Los Angeles,11,4,3,0.36363636363636365
DEL MAR HIGH SCHOOL,San Jose,Santa Clara,23,3,3,0.13043478260869565
DEL NORTE HIGH SCHOOL,San Diego,San Diego,160,26,7,0.1625
DELANO HIGH SCHOOL,Delano,Kern,19,5,3,0.2631578947368421
DESERT MIRAGE HIGH SCHOOL,Thermal,Riverside,24,8,6,0.3333333333333333
DESERT VISTA HIGH SCHOOL,Phoenix,AZ,22,6,4,0.2727272727272727
DESIGN TECH HIGH SCHOOL,Redwood City,San Mateo,42,15,6,0.35714285714285715
DIAMOND BAR HIGH SCHOOL,Diamond Bar,Los Angeles,264,39,19,0.14772727272727273
DIAMOND RANCH HIGH SCHOOL,Pomona,Los Angeles,29,9,3,0.3103448275862069
DIXON HIGH SCHOOL,Dixon,Solano,19,6,3,0.3157894736842105
DOMINGUEZ SENIOR HIGH SCHOOL,Compton,Los Angeles,18,10,4,0.5555555555555556
DOS PUEBLOS HIGH SCHOOL,Goleta,Santa Barbara,77,14,4,0.18181818181818182
DOUGHERTY VALLEY HIGH SCHOOL,San Ramon,Contra Costa,430,78,39,0.1813953488372093
DOWNEY HIGH SCHOOL,Downey,Los Angeles,65,12,4,0.18461538461538463
DOWNTOWN COLG PREP ALUM ROCK,San Jose,Santa Clara,11,4,4,0.36363636363636365
DOWNTOWN MAGNETS HIGH SCHOOL,Los Angeles,Los Angeles,56,19,8,0.3392857142857143
DR RICHARD VLADOVIC HARBOR ACA,Wilmington,Los Angeles,29,11,4,0.3793103448275862
DR TJ OWENS GILROY EARLY COLG,Gilroy,Santa Clara,39,8,6,0.20512820512820512
DUBLIN HIGH SCHOOL,Dublin,Alameda,207,39,26,0.18840579710144928
EAST PALO ALTO ACADEMY,East Palo Alto,San Mateo,13,4,4,0.3076923076923077
EASTLAKE HIGH SCHOOL,Chula Vista,San Diego,56,11,4,0.19642857142857142
EDISON HIGH SCHOOL,Fresno,Fresno,63,24,9,0.38095238095238093
EDISON SENIOR HIGH SCHOOL,Stockton,San Joaquin,40,5,4,0.125
EL CAMINO HIGH SCHOOL,Oceanside,San Diego,38,9,7,0.23684210526315788
EL CAMINO HIGH SCHOOL,Ventura,Ventura,8,4,3,0.5
EL CAMINO REAL CHARTER HIGH SC,Woodland Hills,Los Angeles,85,18,6,0.21176470588235294
EL CERRITO HIGH SCHOOL,El Cerrito,Contra Costa,97,24,17,0.24742268041237114
EL MODENA HIGH SCHOOL,Orange,Orange,22,6,3,0.2727272727272727
EL TORO HIGH SCHOOL,Lake Forest,Orange,54,8,6,0.14814814814814814
ELEANOR ROOSEVELT HIGH SCHOOL,Eastvale,Riverside,98,20,5,0.20408163265306123
ELSIE ALLEN HIGH SCHOOL,Santa Rosa,Sonoma,10,4,3,0.4
EMERY SECONDARY SCHOOL,Emeryville,Alameda,20,6,4,0.3
ENCINAL HIGH SCHOOL,Alameda,Alameda,47,12,8,0.2553191489361702
ENVIRONMENTAL CHARTER HS,Lawndale,Los Angeles,14,8,3,0.5714285714285714
ENVISION ACAD ARTS/TECHNOLOGY,Oakland,Alameda,8,3,3,0.375
ETIWANDA HIGH SCHOOL,Etiwanda,San Bernardino,54,13,5,0.24074074074074073
EVEREST PUBLIC HIGH SCHOOL,Redwood City,San Mateo,22,6,4,0.2727272727272727
EVERETT ALVAREZ HIGH SCHOOL,Salinas,Monterey,42,16,7,0.38095238095238093
EVERGREEN VALLEY HIGH SCHOOL,San Jose,Santa Clara,237,25,13,0.10548523206751055
EXPERIMENTAL BEIJING NORML UNV,nan,nan,151,10,6,0.06622516556291391
FAIRFAX HIGH SCHOOL,Los Angeles,Los Angeles,29,8,3,0.27586206896551724
FAIRFIELD HIGH SCHOOL,Fairfield,Solano,16,4,4,0.25
FAIRVIEW HIGH SCHOOL,Boulder,CO,53,11,3,0.20754716981132076
FELICITAS GONZALO MENDEZ HS,Los Angeles,Los Angeles,9,6,4,0.6666666666666666
FLINTRIDGE SACRED HEART ACAD,La Canada,Los Angeles,39,10,9,0.2564102564102564
FLORIN HIGH SCHOOL,Sacramento,Sacramento,27,6,4,0.2222222222222222
FLOYD B BUCHANAN HIGH SCHOOL,Clovis,Fresno,45,11,5,0.24444444444444444
FOLSOM HIGH SCHOOL,Folsom,Sacramento,83,23,16,0.27710843373493976
FOOTHILL HIGH SCHOOL,Pleasanton,Alameda,193,39,27,0.20207253886010362
FOOTHILL HIGH SCHOOL,Santa Ana,Orange,74,14,4,0.1891891891891892
FOUNTAIN VALLEY HIGH SCHOOL,Fountain Valley,Orange,101,15,3,0.1485148514851485
FRANCIS W PARKER SCHOOL,San Diego,San Diego,49,7,3,0.14285714285714285
FRANKLIN HIGH SCHOOL,Elk Grove,Sacramento,88,21,11,0.23863636363636365
FRED C BEYER HIGH SCHOOL,Modesto,Stanislaus,12,6,4,0.5
FREMONT HIGH SCHOOL,Oakland,Alameda,32,4,3,0.125
FREMONT HIGH SCHOOL,Sunnyvale,Santa Clara,89,16,6,0.1797752808988764
