"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2012 General Election","ADAMS","President of the United States","StateWide","Republican","ROMNEY, MITT","26,767","0","0","","","","","","","","",""
"2012 General Election","ADAMS","President of the United States","StateWide","Democratic","OBAMA, BARACK","15,091","0","0","","","","","","","","",""
"2012 General Election","ADAMS","President of the United States","StateWide","Green","STEIN, JILL","162","0","0","","","","","","","","",""
"2012 General Election","ADAMS","President of the United States","StateWide","Libertarian","JOHNSON, GARY","437","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","President of the United States","StateWide","Republican","ROMNEY, MITT","262,039","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","President of the United States","StateWide","Democratic","OBAMA, BARACK","352,687","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","President of the United States","StateWide","Green","STEIN, JILL","2,159","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","President of the United States","StateWide","Libertarian","JOHNSON, GARY","5,196","0","0","","","","","","","","",""
"2012 General Election","ARMSTRONG","President of the United States","StateWide","Republican","ROMNEY, MITT","20,142","0","0","","","","","","","","",""
"2012 General Election","ARMSTRONG","President of the United States","StateWide","Democratic","OBAMA, BARACK","9,045","0","0","","","","","","","","",""
"2012 General Election","ARMSTRONG","President of the United States","StateWide","Green","STEIN, JILL","118","0","0","","","","","","","","",""
"2012 General Election","ARMSTRONG","President of the United States","StateWide","Libertarian","JOHNSON, GARY","297","0","0","","","","","","","","",""
"2012 General Election","BEAVER","President of the United States","StateWide","Republican","ROMNEY, MITT","42,344","0","0","","","","","","","","",""
"2012 General Election","BEAVER","President of the United States","StateWide","Democratic","OBAMA, BARACK","37,055","0","0","","","","","","","","",""
"2012 General Election","BEAVER","President of the United States","StateWide","Green","STEIN, JILL","281","0","0","","","","","","","","",""
"2012 General Election","BEAVER","President of the United States","StateWide","Libertarian","JOHNSON, GARY","794","0","0","","","","","","","","",""
"2012 General Election","BEDFORD","President of the United States","StateWide","Republican","ROMNEY, MITT","16,702","0","0","","","","","","","","",""
"2012 General Election","BEDFORD","President of the United States","StateWide","Democratic","OBAMA, BARACK","4,788","0","0","","","","","","","","",""
"2012 General Election","BEDFORD","President of the United States","StateWide","Green","STEIN, JILL","64","0","0","","","","","","","","",""
"2012 General Election","BEDFORD","President of the United States","StateWide","Libertarian","JOHNSON, GARY","143","0","0","","","","","","","","",""
"2012 General Election","BERKS","President of the United States","StateWide","Republican","ROMNEY, MITT","84,702","0","0","","","","","","","","",""
"2012 General Election","BERKS","President of the United States","StateWide","Democratic","OBAMA, BARACK","83,011","0","0","","","","","","","","",""
"2012 General Election","BERKS","President of the United States","StateWide","Green","STEIN, JILL","775","0","0","","","","","","","","",""
"2012 General Election","BERKS","President of the United States","StateWide","Libertarian","JOHNSON, GARY","1,832","0","0","","","","","","","","",""
"2012 General Election","BLAIR","President of the United States","StateWide","Republican","ROMNEY, MITT","33,319","0","0","","","","","","","","",""
"2012 General Election","BLAIR","President of the United States","StateWide","Democratic","OBAMA, BARACK","16,276","0","0","","","","","","","","",""
"2012 General Election","BLAIR","President of the United States","StateWide","Green","STEIN, JILL","182","0","0","","","","","","","","",""
"2012 General Election","BLAIR","President of the United States","StateWide","Libertarian","JOHNSON, GARY","464","0","0","","","","","","","","",""
"2012 General Election","BRADFORD","President of the United States","StateWide","Republican","ROMNEY, MITT","14,410","0","0","","","","","","","","",""
"2012 General Election","BRADFORD","President of the United States","StateWide","Democratic","OBAMA, BARACK","8,624","0","0","","","","","","","","",""
"2012 General Election","BRADFORD","President of the United States","StateWide","Green","STEIN, JILL","149","0","0","","","","","","","","",""
"2012 General Election","BRADFORD","President of the United States","StateWide","Libertarian","JOHNSON, GARY","243","0","0","","","","","","","","",""
"2012 General Election","BUCKS","President of the United States","StateWide","Republican","ROMNEY, MITT","156,579","0","0","","","","","","","","",""
"2012 General Election","BUCKS","President of the United States","StateWide","Democratic","OBAMA, BARACK","160,521","0","0","","","","","","","","",""
"2012 General Election","BUCKS","President of the United States","StateWide","Green","STEIN, JILL","1,053","0","0","","","","","","","","",""
"2012 General Election","BUCKS","President of the United States","StateWide","Libertarian","JOHNSON, GARY","2,863","0","0","","","","","","","","",""
"2012 General Election","BUTLER","President of the United States","StateWide","Republican","ROMNEY, MITT","59,761","0","0","","","","","","","","",""
"2012 General Election","BUTLER","President of the United States","StateWide","Democratic","OBAMA, BARACK","28,550","0","0","","","","","","","","",""
"2012 General Election","BUTLER","President of the United States","StateWide","Green","STEIN, JILL","315","0","0","","","","","","","","",""
"2012 General Election","BUTLER","President of the United States","StateWide","Libertarian","JOHNSON, GARY","819","0","0","","","","","","","","",""
"2012 General Election","CAMBRIA","President of the United States","StateWide","Republican","ROMNEY, MITT","35,163","0","0","","","","","","","","",""
"2012 General Election","CAMBRIA","President of the United States","StateWide","Democratic","OBAMA, BARACK","24,249","0","0","","","","","","","","",""
"2012 General Election","CAMBRIA","President of the United States","StateWide","Green","STEIN, JILL","402","0","0","","","","","","","","",""
"2012 General Election","CAMBRIA","President of the United States","StateWide","Libertarian","JOHNSON, GARY","712","0","0","","","","","","","","",""
"2012 General Election","CAMERON","President of the United States","StateWide","Republican","ROMNEY, MITT","1,359","0","0","","","","","","","","",""
"2012 General Election","CAMERON","President of the United States","StateWide","Democratic","OBAMA, BARACK","724","0","0","","","","","","","","",""
"2012 General Election","CAMERON","President of the United States","StateWide","Green","STEIN, JILL","9","0","0","","","","","","","","",""
"2012 General Election","CAMERON","President of the United States","StateWide","Libertarian","JOHNSON, GARY","19","0","0","","","","","","","","",""
"2012 General Election","CARBON","President of the United States","StateWide","Republican","ROMNEY, MITT","13,504","0","0","","","","","","","","",""
"2012 General Election","CARBON","President of the United States","StateWide","Democratic","OBAMA, BARACK","11,580","0","0","","","","","","","","",""
"2012 General Election","CARBON","President of the United States","StateWide","Green","STEIN, JILL","141","0","0","","","","","","","","",""
"2012 General Election","CARBON","President of the United States","StateWide","Libertarian","JOHNSON, GARY","356","0","0","","","","","","","","",""
"2012 General Election","CENTRE","President of the United States","StateWide","Republican","ROMNEY, MITT","34,001","0","0","","","","","","","","",""
"2012 General Election","CENTRE","President of the United States","StateWide","Democratic","OBAMA, BARACK","34,176","0","0","","","","","","","","",""
"2012 General Election","CENTRE","President of the United States","StateWide","Green","STEIN, JILL","400","0","0","","","","","","","","",""
"2012 General Election","CENTRE","President of the United States","StateWide","Libertarian","JOHNSON, GARY","1,049","0","0","","","","","","","","",""
"2012 General Election","CHESTER","President of the United States","StateWide","Republican","ROMNEY, MITT","124,840","0","0","","","","","","","","",""
"2012 General Election","CHESTER","President of the United States","StateWide","Democratic","OBAMA, BARACK","124,311","0","0","","","","","","","","",""
"2012 General Election","CHESTER","President of the United States","StateWide","Green","STEIN, JILL","740","0","0","","","","","","","","",""
"2012 General Election","CHESTER","President of the United States","StateWide","Libertarian","JOHNSON, GARY","2,082","0","0","","","","","","","","",""
"2012 General Election","CLARION","President of the United States","StateWide","Republican","ROMNEY, MITT","10,828","0","0","","","","","","","","",""
"2012 General Election","CLARION","President of the United States","StateWide","Democratic","OBAMA, BARACK","5,056","0","0","","","","","","","","",""
"2012 General Election","CLARION","President of the United States","StateWide","Green","STEIN, JILL","94","0","0","","","","","","","","",""
"2012 General Election","CLARION","President of the United States","StateWide","Libertarian","JOHNSON, GARY","208","0","0","","","","","","","","",""
"2012 General Election","CLEARFIELD","President of the United States","StateWide","Republican","ROMNEY, MITT","20,347","0","0","","","","","","","","",""
"2012 General Election","CLEARFIELD","President of the United States","StateWide","Democratic","OBAMA, BARACK","11,121","0","0","","","","","","","","",""
"2012 General Election","CLEARFIELD","President of the United States","StateWide","Green","STEIN, JILL","160","0","0","","","","","","","","",""
"2012 General Election","CLEARFIELD","President of the United States","StateWide","Libertarian","JOHNSON, GARY","339","0","0","","","","","","","","",""
"2012 General Election","CLINTON","President of the United States","StateWide","Republican","ROMNEY, MITT","7,303","0","0","","","","","","","","",""
"2012 General Election","CLINTON","President of the United States","StateWide","Democratic","OBAMA, BARACK","5,734","0","0","","","","","","","","",""
