"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2018 General Election","ADAMS","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","14,880","0","0","","","","","","","","",""
"2018 General Election","ADAMS","United States Senator","Statewide","Republican","BARLETTA, LOUIS J.","23,419","0","0","","","","","","","","",""
"2018 General Election","ADAMS","United States Senator","Statewide","Green","GALE, NEAL TAYLOR","292","0","0","","","","","","","","",""
"2018 General Election","ADAMS","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","511","0","0","","","","","","","","",""
"2018 General Election","ADAMS","Governor","Statewide","Democratic","WOLF, THOMAS W","15,862","0","0","","","","","","","","",""
"2018 General Election","ADAMS","Governor","Statewide","Republican","WAGNER, SCOTT R","22,501","0","0","","","","","","","","",""
"2018 General Election","ADAMS","Governor","Statewide","Green","GLOVER, PAUL","255","0","0","","","","","","","","",""
"2018 General Election","ADAMS","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V","435","0","0","","","","","","","","",""
"2018 General Election","ALLEGHENY","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","355,907","0","0","","","","","","","","",""
"2018 General Election","ALLEGHENY","United States Senator","Statewide","Republican","BARLETTA, LOUIS J.","176,351","0","0","","","","","","","","",""
"2018 General Election","ALLEGHENY","United States Senator","Statewide","Green","GALE, NEAL TAYLOR","3,240","0","0","","","","","","","","",""
"2018 General Election","ALLEGHENY","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","6,205","0","0","","","","","","","","",""
"2018 General Election","ALLEGHENY","Governor","Statewide","Democratic","WOLF, THOMAS W","364,710","0","0","","","","","","","","",""
"2018 General Election","ALLEGHENY","Governor","Statewide","Republican","WAGNER, SCOTT R","168,893","0","0","","","","","","","","",""
"2018 General Election","ALLEGHENY","Governor","Statewide","Green","GLOVER, PAUL","2,458","0","0","","","","","","","","",""
"2018 General Election","ALLEGHENY","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V","5,244","0","0","","","","","","","","",""
"2018 General Election","ARMSTRONG","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","8,570","0","0","","","","","","","","",""
"2018 General Election","ARMSTRONG","United States Senator","Statewide","Republican","BARLETTA, LOUIS J.","15,449","0","0","","","","","","","","",""
"2018 General Election","ARMSTRONG","United States Senator","Statewide","Green","GALE, NEAL TAYLOR","159","0","0","","","","","","","","",""
"2018 General Election","ARMSTRONG","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","310","0","0","","","","","","","","",""
"2018 General Election","ARMSTRONG","Governor","Statewide","Democratic","WOLF, THOMAS W","8,839","0","0","","","","","","","","",""
"2018 General Election","ARMSTRONG","Governor","Statewide","Republican","WAGNER, SCOTT R","15,373","0","0","","","","","","","","",""
"2018 General Election","ARMSTRONG","Governor","Statewide","Green","GLOVER, PAUL","153","0","0","","","","","","","","",""
"2018 General Election","ARMSTRONG","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V","278","0","0","","","","","","","","",""
"2018 General Election","BEAVER","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","34,442","0","0","","","","","","","","",""
"2018 General Election","BEAVER","United States Senator","Statewide","Republican","BARLETTA, LOUIS J.","31,916","0","0","","","","","","","","",""
"2018 General Election","BEAVER","United States Senator","Statewide","Green","GALE, NEAL TAYLOR","437","0","0","","","","","","","","",""
"2018 General Election","BEAVER","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","847","0","0","","","","","","","","",""
"2018 General Election","BEAVER","Governor","Statewide","Democratic","WOLF, THOMAS W","36,166","0","0","","","","","","","","",""
"2018 General Election","BEAVER","Governor","Statewide","Republican","WAGNER, SCOTT R","30,593","0","0","","","","","","","","",""
"2018 General Election","BEAVER","Governor","Statewide","Green","GLOVER, PAUL","406","0","0","","","","","","","","",""
"2018 General Election","BEAVER","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V","711","0","0","","","","","","","","",""
"2018 General Election","BEDFORD","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","4,567","0","0","","","","","","","","",""
"2018 General Election","BEDFORD","United States Senator","Statewide","Republican","BARLETTA, LOUIS J.","14,044","0","0","","","","","","","","",""
"2018 General Election","BEDFORD","United States Senator","Statewide","Green","GALE, NEAL TAYLOR","83","0","0","","","","","","","","",""
"2018 General Election","BEDFORD","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","129","0","0","","","","","","","","",""
"2018 General Election","BEDFORD","Governor","Statewide","Democratic","WOLF, THOMAS W","4,408","0","0","","","","","","","","",""
"2018 General Election","BEDFORD","Governor","Statewide","Republican","WAGNER, SCOTT R","14,261","0","0","","","","","","","","",""
"2018 General Election","BEDFORD","Governor","Statewide","Green","GLOVER, PAUL","84","0","0","","","","","","","","",""
"2018 General Election","BEDFORD","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V","110","0","0","","","","","","","","",""
"2018 General Election","BERKS","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","73,714","0","0","","","","","","","","",""
"2018 General Election","BERKS","United States Senator","Statewide","Republican","BARLETTA, LOUIS J.","68,159","0","0","","","","","","","","",""
"2018 General Election","BERKS","United States Senator","Statewide","Green","GALE, NEAL TAYLOR","977","0","0","","","","","","","","",""
"2018 General Election","BERKS","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","1,683","0","0","","","","","","","","",""
"2018 General Election","BERKS","Governor","Statewide","Democratic","WOLF, THOMAS W","76,136","0","0","","","","","","","","",""
"2018 General Election","BERKS","Governor","Statewide","Republican","WAGNER, SCOTT R","65,756","0","0","","","","","","","","",""
"2018 General Election","BERKS","Governor","Statewide","Green","GLOVER, PAUL","915","0","0","","","","","","","","",""
"2018 General Election","BERKS","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V","1,619","0","0","","","","","","","","",""
"2018 General Election","BLAIR","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","14,599","0","0","","","","","","","","",""
"2018 General Election","BLAIR","United States Senator","Statewide","Republican","BARLETTA, LOUIS J.","27,826","0","0","","","","","","","","",""
"2018 General Election","BLAIR","United States Senator","Statewide","Green","GALE, NEAL TAYLOR","258","0","0","","","","","","","","",""
"2018 General Election","BLAIR","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","482","0","0","","","","","","","","",""
"2018 General Election","BLAIR","Governor","Statewide","Democratic","WOLF, THOMAS W","14,622","0","0","","","","","","","","",""
"2018 General Election","BLAIR","Governor","Statewide","Republican","WAGNER, SCOTT R","28,175","0","0","","","","","","","","",""
"2018 General Election","BLAIR","Governor","Statewide","Green","GLOVER, PAUL","217","0","0","","","","","","","","",""
"2018 General Election","BLAIR","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V","508","0","0","","","","","","","","",""
"2018 General Election","BRADFORD","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","6,926","0","0","","","","","","","","",""
"2018 General Election","BRADFORD","United States Senator","Statewide","Republican","BARLETTA, LOUIS J.","13,032","0","0","","","","","","","","",""
"2018 General Election","BRADFORD","United States Senator","Statewide","Green","GALE, NEAL TAYLOR","143","0","0","","","","","","","","",""
"2018 General Election","BRADFORD","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","227","0","0","","","","","","","","",""
"2018 General Election","BRADFORD","Governor","Statewide","Democratic","WOLF, THOMAS W","6,852","0","0","","","","","","","","",""
"2018 General Election","BRADFORD","Governor","Statewide","Republican","WAGNER, SCOTT R","13,068","0","0","","","","","","","","",""
"2018 General Election","BRADFORD","Governor","Statewide","Green","GLOVER, PAUL","181","0","0","","","","","","","","",""
"2018 General Election","BRADFORD","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V","319","0","0","","","","","","","","",""
"2018 General Election","BUCKS","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","165,408","0","0","","","","","","","","",""
"2018 General Election","BUCKS","United States Senator","Statewide","Republican","BARLETTA, LOUIS J.","124,133","0","0","","","","","","","","",""
"2018 General Election","BUCKS","United States Senator","Statewide","Green","GALE, NEAL TAYLOR","1,903","0","0","","","","","","","","",""
"2018 General Election","BUCKS","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","2,873","0","0","","","","","","","","",""
"2018 General Election","BUCKS","Governor","Statewide","Democratic","WOLF, THOMAS W","172,302","0","0","","","","","","","","",""
"2018 General Election","BUCKS","Governor","Statewide","Republican","WAGNER, SCOTT R","117,912","0","0","","","","","","","","",""
"2018 General Election","BUCKS","Governor","Statewide","Green","GLOVER, PAUL","1,513","0","0","","","","","","","","",""
"2018 General Election","BUCKS","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V","2,602","0","0","","","","","","","","",""
"2018 General Election","BUTLER","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","31,010","0","0","","","","","","","","",""
"2018 General Election","BUTLER","United States Senator","Statewide","Republican","BARLETTA, LOUIS J.","46,875","0","0","","","","","","","","",""
"2018 General Election","BUTLER","United States Senator","Statewide","Green","GALE, NEAL TAYLOR","488","0","0","","","","","","","","",""
"2018 General Election","BUTLER","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","1,122","0","0","","","","","","","","",""
"2018 General Election","BUTLER","Governor","Statewide","Democratic","WOLF, THOMAS W","32,891","0","0","","","","","","","","",""
"2018 General Election","BUTLER","Governor","Statewide","Republican","WAGNER, SCOTT R","45,242","0","0","","","","","","","","",""
"2018 General Election","BUTLER","Governor","Statewide","Green","GLOVER, PAUL","490","0","0","","","","","","","","",""
"2018 General Election","BUTLER","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V","1,088","0","0","","","","","","","","",""
"2018 General Election","CAMBRIA","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","21,590","0","0","","","","","","","","",""
"2018 General Election","CAMBRIA","United States Senator","Statewide","Republican","BARLETTA, LOUIS J.","27,367","0","0","","","","","","","","",""
"2018 General Election","CAMBRIA","United States Senator","Statewide","Green","GALE, NEAL TAYLOR","247","0","0","","","","","","","","",""
"2018 General Election","CAMBRIA","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","403","0","0","","","","","","","","",""
"2018 General Election","CAMBRIA","Governor","Statewide","Democratic","WOLF, THOMAS W","21,639","0","0","","","","","","","","",""
"2018 General Election","CAMBRIA","Governor","Statewide","Republican","WAGNER, SCOTT R","27,530","0","0","","","","","","","","",""
"2018 General Election","CAMBRIA","Governor","Statewide","Green","GLOVER, PAUL","312","0","0","","","","","","","","",""
"2018 General Election","CAMBRIA","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V","413","0","0","","","","","","","","",""
"2018 General Election","CAMERON","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","653","0","0","","","","","","","","",""
"2018 General Election","CAMERON","United States Senator","Statewide","Republican","BARLETTA, LOUIS J.","1,080","0","0","","","","","","","","",""
"2018 General Election","CAMERON","United States Senator","Statewide","Green","GALE, NEAL TAYLOR","10","0","0","","","","","","","","",""
"2018 General Election","CAMERON","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","22","0","0","","","","","","","","",""
"2018 General Election","CAMERON","Governor","Statewide","Democratic","WOLF, THOMAS W","619","0","0","","","","","","","","",""
"2018 General Election","CAMERON","Governor","Statewide","Republican","WAGNER, SCOTT R","1,127","0","0","","","","","","","","",""
"2018 General Election","CAMERON","Governor","Statewide","Green","GLOVER, PAUL","10","0","0","","","","","","","","",""
"2018 General Election","CAMERON","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V","17","0","0","","","","","","","","",""
"2018 General Election","CARBON","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","8,739","0","0","","","","","","","","",""
"2018 General Election","CARBON","United States Senator","Statewide","Republican","BARLETTA, LOUIS J.","13,519","0","0","","","","","","","","",""
"2018 General Election","CARBON","United States Senator","Statewide","Green","GALE, NEAL TAYLOR","119","0","0","","","","","","","","",""
"2018 General Election","CARBON","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","197","0","0","","","","","","","","",""
"2018 General Election","CARBON","Governor","Statewide","Democratic","WOLF, THOMAS W","9,659","0","0","","","","","","","","",""
"2018 General Election","CARBON","Governor","Statewide","Republican","WAGNER, SCOTT R","12,476","0","0","","","","","","","","",""
"2018 General Election","CARBON","Governor","Statewide","Green","GLOVER, PAUL","140","0","0","","","","","","","","",""
"2018 General Election","CARBON","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V","267","0","0","","","","","","","","",""
"2018 General Election","CENTRE","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","34,778","0","0","","","","","","","","",""
"2018 General Election","CENTRE","United States Senator","Statewide","Republican","BARLETTA, LOUIS J.","24,332","0","0","","","","","","","","",""
"2018 General Election","CENTRE","United States Senator","Statewide","Green","GALE, NEAL TAYLOR","632","0","0","","","","","","","","",""
"2018 General Election","CENTRE","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","922","0","0","","","","","","","","",""
"2018 General Election","CENTRE","Governor","Statewide","Democratic","WOLF, THOMAS W","34,961","0","0","","","","","","","","",""
"2018 General Election","CENTRE","Governor","Statewide","Republican","WAGNER, SCOTT R","24,353","0","0","","","","","","","","",""
"2018 General Election","CENTRE","Governor","Statewide","Green","GLOVER, PAUL","515","0","0","","","","","","","","",""
"2018 General Election","CENTRE","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V","849","0","0","","","","","","","","",""
"2018 General Election","CHESTER","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","140,138","0","0","","","","","","","","",""
"2018 General Election","CHESTER","United States Senator","Statewide","Republican","BARLETTA, LOUIS J.","92,380","0","0","","","","","","","","",""
"2018 General Election","CHESTER","United States Senator","Statewide","Green","GALE, NEAL TAYLOR","1,587","0","0","","","","","","","","",""
"2018 General Election","CHESTER","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","2,613","0","0","","","","","","","","",""
"2018 General Election","CHESTER","Governor","Statewide","Democratic","WOLF, THOMAS W","145,212","0","0","","","","","","","","",""
"2018 General Election","CHESTER","Governor","Statewide","Republican","WAGNER, SCOTT R","87,873","0","0","","","","","","","","",""
"2018 General Election","CHESTER","Governor","Statewide","Green","GLOVER, PAUL","1,242","0","0","","","","","","","","",""
"2018 General Election","CHESTER","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V","2,448","0","0","","","","","","","","",""
"2018 General Election","CLARION","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","4,924","0","0","","","","","","","","",""
"2018 General Election","CLARION","United States Senator","Statewide","Republican","BARLETTA, LOUIS J.","8,838","0","0","","","","","","","","",""
"2018 General Election","CLARION","United States Senator","Statewide","Green","GALE, NEAL TAYLOR","87","0","0","","","","","","","","",""
"2018 General Election","CLARION","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","182","0","0","","","","","","","","",""
"2018 General Election","CLARION","Governor","Statewide","Democratic","WOLF, THOMAS W","5,191","0","0","","","","","","","","",""
"2018 General Election","CLARION","Governor","Statewide","Republican","WAGNER, SCOTT R","8,594","0","0","","","","","","","","",""
"2018 General Election","CLARION","Governor","Statewide","Green","GLOVER, PAUL","114","0","0","","","","","","","","",""
"2018 General Election","CLARION","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V","195","0","0","","","","","","","","",""
"2018 General Election","CLEARFIELD","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","9,540","0","0","","","","","","","","",""
"2018 General Election","CLEARFIELD","United States Senator","Statewide","Republican","BARLETTA, LOUIS J.","16,852","0","0","","","","","","","","",""
"2018 General Election","CLEARFIELD","United States Senator","Statewide","Green","GALE, NEAL TAYLOR","145","0","0","","","","","","","","",""
"2018 General Election","CLEARFIELD","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","266","0","0","","","","","","","","",""
"2018 General Election","CLEARFIELD","Governor","Statewide","Democratic","WOLF, THOMAS W","9,235","0","0","","","","","","","","",""
"2018 General Election","CLEARFIELD","Governor","Statewide","Republican","WAGNER, SCOTT R","17,241","0","0","","","","","","","","",""
"2018 General Election","CLEARFIELD","Governor","Statewide","Green","GLOVER, PAUL","165","0","0","","","","","","","","",""
"2018 General Election","CLEARFIELD","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V","251","0","0","","","","","","","","",""
"2018 General Election","CLINTON","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","5,289","0","0","","","","","","","","",""
"2018 General Election","CLINTON","United States Senator","Statewide","Republican","BARLETTA, LOUIS J.","6,869","0","0","","","","","","","","",""
"2018 General Election","CLINTON","United States Senator","Statewide","Green","GALE, NEAL TAYLOR","82","0","0","","","","","","","","",""
"2018 General Election","CLINTON","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","138","0","0","","","","","","","","",""
"2018 General Election","CLINTON","Governor","Statewide","Democratic","WOLF, THOMAS W","5,517","0","0","","","","","","","","",""
"2018 General Election","CLINTON","Governor","Statewide","Republican","WAGNER, SCOTT R","6,727","0","0","","","","","","","","",""
"2018 General Election","CLINTON","Governor","Statewide","Green","GLOVER, PAUL","67","0","0","","","","","","","","",""
"2018 General Election","CLINTON","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V","165","0","0","","","","","","","","",""
"2018 General Election","COLUMBIA","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","8,837","0","0","","","","","","","","",""
"2018 General Election","COLUMBIA","United States Senator","Statewide","Republican","BARLETTA, LOUIS J.","13,437","0","0","","","","","","","","",""
"2018 General Election","COLUMBIA","United States Senator","Statewide","Green","GALE, NEAL TAYLOR","140","0","0","","","","","","","","",""
"2018 General Election","COLUMBIA","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","224","0","0","","","","","","","","",""
"2018 General Election","COLUMBIA","Governor","Statewide","Democratic","WOLF, THOMAS W","9,822","0","0","","","","","","","","",""
"2018 General Election","COLUMBIA","Governor","Statewide","Republican","WAGNER, SCOTT R","12,424","0","0","","","","","","","","",""
"2018 General Election","COLUMBIA","Governor","Statewide","Green","GLOVER, PAUL","148","0","0","","","","","","","","",""
"2018 General Election","COLUMBIA","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V","244","0","0","","","","","","","","",""
"2018 General Election","CRAWFORD","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","11,720","0","0","","","","","","","","",""
"2018 General Election","CRAWFORD","United States Senator","Statewide","Republican","BARLETTA, LOUIS J.","17,813","0","0","","","","","","","","",""
"2018 General Election","CRAWFORD","United States Senator","Statewide","Green","GALE, NEAL TAYLOR","192","0","0","","","","","","","","",""
"2018 General Election","CRAWFORD","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","310","0","0","","","","","","","","",""
"2018 General Election","CRAWFORD","Governor","Statewide","Democratic","WOLF, THOMAS W","12,137","0","0","","","","","","","","",""
"2018 General Election","CRAWFORD","Governor","Statewide","Republican","WAGNER, SCOTT R","17,859","0","0","","","","","","","","",""
"2018 General Election","CRAWFORD","Governor","Statewide","Green","GLOVER, PAUL","206","0","0","","","","","","","","",""
"2018 General Election","CRAWFORD","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V","342","0","0","","","","","","","","",""
"2018 General Election","CUMBERLAND","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","47,738","0","0","","","","","","","","",""
"2018 General Election","CUMBERLAND","United States Senator","Statewide","Republican","BARLETTA, LOUIS J.","54,525","0","0","","","","","","","","",""
"2018 General Election","CUMBERLAND","United States Senator","Statewide","Green","GALE, NEAL TAYLOR","738","0","0","","","","","","","","",""
"2018 General Election","CUMBERLAND","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","1,399","0","0","","","","","","","","",""
"2018 General Election","CUMBERLAND","Governor","Statewide","Democratic","WOLF, THOMAS W","52,807","0","0","","","","","","","","",""
"2018 General Election","CUMBERLAND","Governor","Statewide","Republican","WAGNER, SCOTT R","49,496","0","0","","","","","","","","",""
"2018 General Election","CUMBERLAND","Governor","Statewide","Green","GLOVER, PAUL","671","0","0","","","","","","","","",""
"2018 General Election","CUMBERLAND","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V","1,504","0","0","","","","","","","","",""
"2018 General Election","DAUPHIN","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","59,533","0","0","","","","","","","","",""
"2018 General Election","DAUPHIN","United States Senator","Statewide","Republican","BARLETTA, LOUIS J.","47,152","0","0","","","","","","","","",""
"2018 General Election","DAUPHIN","United States Senator","Statewide","Green","GALE, NEAL TAYLOR","783","0","0","","","","","","","","",""
"2018 General Election","DAUPHIN","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","1,240","0","0","","","","","","","","",""
"2018 General Election","DAUPHIN","Governor","Statewide","Democratic","WOLF, THOMAS W","64,045","0","0","","","","","","","","",""
"2018 General Election","DAUPHIN","Governor","Statewide","Republican","WAGNER, SCOTT R","42,436","0","0","","","","","","","","",""
"2018 General Election","DAUPHIN","Governor","Statewide","Green","GLOVER, PAUL","706","0","0","","","","","","","","",""
"2018 General Election","DAUPHIN","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V","1,362","0","0","","","","","","","","",""
"2018 General Election","DELAWARE","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","163,216","0","0","","","","","","","","",""
"2018 General Election","DELAWARE","United States Senator","Statewide","Republican","BARLETTA, LOUIS J.","84,423","0","0","","","","","","","","",""
