Media Market,County
Erie,Crawford
Erie,Erie
Erie,McKean
Erie,Warren
Harrisburg Lancaster Lebanon York,Adams
Harrisburg Lancaster Lebanon York,Cumberland
Harrisburg Lancaster Lebanon York,Dauphin
Harrisburg Lancaster Lebanon York,Franklin
Harrisburg Lancaster Lebanon York,Juniata
Harrisburg Lancaster Lebanon York,Lancaster
Harrisburg Lancaster Lebanon York,Lebanon
Harrisburg Lancaster Lebanon York,Perry
Harrisburg Lancaster Lebanon York,York
Johnstown Altoona,Bedford
Johnstown Altoona,Blair
Johnstown Altoona,Cambria
Johnstown Altoona,Cameron
Johnstown Altoona,Centre
Johnstown Altoona,Clearfield
Johnstown Altoona,Elk
Johnstown Altoona,Fulton
Johnstown Altoona,Huntingdon
Johnstown Altoona,Jefferson
Johnstown Altoona,Mifflin
Johnstown Altoona,Somerset
Philadelphia,Berks
Philadelphia,Bucks
Philadelphia,Chester
Philadelphia,Delaware
Philadelphia,Lehigh
Philadelphia,Montgomery
Philadelphia,Northampton
Philadelphia,Philadelphia
Pittsburgh,Allegheny
Pittsburgh,Armstrong
Pittsburgh,Beaver
Pittsburgh,Butler
Pittsburgh,Clarion
Pittsburgh,Fayette
Pittsburgh,Forest
Pittsburgh,Greene
Pittsburgh,Indiana
Pittsburgh,Lawrence
Pittsburgh,Mercer
Pittsburgh,Venango
Pittsburgh,Washington
Pittsburgh,Westmoreland
Wilkes Barre Scranton,Bradford
Wilkes Barre Scranton,Carbon
Wilkes Barre Scranton,Clinton
Wilkes Barre Scranton,Columbia
Wilkes Barre Scranton,Lackawanna
Wilkes Barre Scranton,Luzerne
Wilkes Barre Scranton,Lycoming
Wilkes Barre Scranton,Monroe
Wilkes Barre Scranton,Montour
Wilkes Barre Scranton,Northumberland
Wilkes Barre Scranton,Pike
Wilkes Barre Scranton,Potter
Wilkes Barre Scranton,Schuylkill
Wilkes Barre Scranton,Snyder
Wilkes Barre Scranton,Sullivan
Wilkes Barre Scranton,Susquehanna
Wilkes Barre Scranton,Tioga
Wilkes Barre Scranton,Union
Wilkes Barre Scranton,Wayne
Wilkes Barre Scranton,Wyoming
